" Cloud Service Provider"," Cloud Service Offering"," Type"," Leveraged A T O"," Authorization Date"," Agency"," Subagency"," Independent Assessor"
Salesforce,Salesforce Government Cloud,Agency,Yes,,Environmental Protection Agency,,
Apptio,The Apptio Technology Business Management (TBM),JAB,Yes,,Environmental Protection Agency,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Environmental Protection Agency,,
ServiceNow,Government Community Cloud,JAB,Yes,,Environmental Protection Agency,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Environmental Protection Agency,,
Relativity ODA LLC,RelativityOne Government,Agency,No,,Environmental Protection Agency,,"Coalfire Systems, Inc."
Axon,Axon Evidence.com,JAB,Yes,,Department of Justice,Executive Office for United States Attorneys,
OMB,MAX.gov Shared Services,Agency,No,06/09/2014,Executive Office of the President,,"Sera-Brynn, LLC"
"Leidos Digital Solutions, Inc.",IQ FedCloud,Agency,No,04/29/2019,Executive Office of the President,,"Coalfire Systems, Inc."
New Relic,New Relic,Agency,No,02/27/2020,Executive Office of the President,,"Schellman & Company, LLC"
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Export-Import Bank of the United States,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Farm Credit Administration,,
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,Yes,,Farm Credit Administration,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Farm Credit Administration,,
"Edge Hosting, A DataBank Company",FedRAMP Compliant CloudPlus,Agency,No,05/29/2018,Farm Credit Administration,,SecureIT
Microsoft,Azure Commercial Cloud,JAB,Yes,,Farm Credit Administration,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Farm Credit Administration,,
ServiceNow,Government Community Cloud,JAB,Yes,,Farm Credit Administration,,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Amazon,AWS GovCloud,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
"Druva, Inc.",Druva inSync,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
Valimail,Valimail Enforce Platform,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
Smartsheet,Smartsheet Gov,JAB,Yes,,Department of Transportation,Federal Aviation Administration,
DocuSign,DocuSign CLM (formerly SpringCM),Agency,Yes,,Department of Transportation,Federal Aviation Administration,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Transportation,Federal Aviation Administration,
"GDC Integration, Inc.",General Support System (GSS),Agency,Yes,,Department of Transportation,Federal Aviation Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Justice,Federal Bureau of Investigation,
Amazon,AWS US East/West,JAB,Yes,,Department of Justice,Federal Bureau of Prisons,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Justice,Federal Bureau of Prisons,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Federal Communications Commission,,
Collab9,"Cloud Unified Communications, Contact Center and Collaboration",Agency,No,07/19/2016,Federal Communications Commission,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,No,07/14/2017,Federal Communications Commission,,"Schellman & Company, LLC"
Socrata,Socrata Data Platform,Agency,No,04/27/2018,Federal Communications Commission,,"Coalfire Systems, Inc."
Zscaler,Zscaler Internet Access – Government (Secure Web Gateway – vTIC),Agency,No,11/19/2018,Federal Communications Commission,,"Schellman & Company, LLC"
Virtru,Virtru Data Protection Platform,Agency,No,12/13/2018,Federal Communications Commission,,Kratos
MuleSoft,MuleSoft Government Cloud,Agency,No,05/09/2019,Federal Communications Commission,,"Coalfire Systems, Inc."
ServiceNow,Government Community Cloud,JAB,Yes,,Federal Communications Commission,,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Federal Communications Commission,,
"Proofpoint, Inc.",Proofpoint Email and Information Protection Service,Agency,No,06/12/2019,Federal Communications Commission,,"Schellman & Company, LLC"
"Proofpoint, Inc.",Proofpoint Targeted Attack Protection,Agency,No,06/12/2019,Federal Communications Commission,,"Schellman & Company, LLC"
IBM,IBM Cloud for Government,JAB,Yes,,Federal Communications Commission,,
Zscaler,Zscaler Private Access – Government (Zero Trust Networking – VPN Replacement),JAB,Yes,,Federal Communications Commission,,
Bizagi Corp.,Bizagi Cloud for US Government,Agency,No,03/17/2020,Federal Communications Commission,,Kratos
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Federal Communications Commission,,
Dynatrace LLC,Dynatrace for Government,Agency,No,06/16/2020,Federal Communications Commission,,"Schellman & Company, LLC"
Akamai,Content Delivery Services,JAB,Yes,,Federal Deposit Insurance Corporation,,
Appian,Appian Cloud,Agency,Yes,,Federal Deposit Insurance Corporation,,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Federal Deposit Insurance Corporation,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Federal Deposit Insurance Corporation,,
18F,18F Cloud.gov,JAB,Yes,,Federal Deposit Insurance Corporation,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Federal Deposit Insurance Corporation,,
"Druva, Inc.",Druva inSync,Agency,Yes,,Federal Deposit Insurance Corporation,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Federal Deposit Insurance Corporation,,
Everbridge,Everbridge Suite,Agency,Yes,,Federal Deposit Insurance Corporation,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Federal Deposit Insurance Corporation,,
Oracle,Enterprise Planning and Budgeting Cloud Services a component of Oracle Enterprise Performance Management (EPM),Agency,No,06/26/2018,Federal Deposit Insurance Corporation,,"Coalfire Systems, Inc."
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Federal Deposit Insurance Corporation,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Federal Deposit Insurance Corporation,,
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,Yes,,Federal Deposit Insurance Corporation,,
ServiceNow,Government Community Cloud,JAB,Yes,,Federal Deposit Insurance Corporation,,
McAfee,MVISION Cloud,JAB,Yes,,Federal Deposit Insurance Corporation,,
18F,18F Cloud.gov,JAB,Yes,,Federal Election Commission,,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
"Distributed Solutions, Inc.",AEON,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Federal Housing Finance Agency,,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Federal Housing Finance Agency,,
Skillsoft,Private Cloud,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Project Hosts,Federal Private Cloud,Agency,No,05/31/2018,Federal Housing Finance Agency,,"Coalfire Systems, Inc."
Everbridge,Everbridge Suite,Agency,No,06/07/2018,Federal Housing Finance Agency,,"Coalfire Systems, Inc."
"Acendre, Inc.",Acendre Talent Management Solution Suite,Agency,No,07/12/2018,Federal Housing Finance Agency,,SecureIT
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Duo Security,Duo Access,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services,Agency,No,,Federal Housing Finance Agency,,Kratos
Amazon,AWS GovCloud,JAB,Yes,,Department of Homeland Security,Federal Law Enforcement Training Centers,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Federal Mine Safety and Health Review Commission,,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Department of Transportation,Federal Railroad Administration,
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,Yes,,Federal Reserve System,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Federal Reserve System,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Federal Reserve System,,
ServiceNow,Government Community Cloud,JAB,Yes,,Federal Reserve System,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Federal Retirement Thrift Investment Board,,
ServiceNow,Government Community Cloud,JAB,Yes,,Federal Retirement Thrift Investment Board,,
Akamai,Content Delivery Services,JAB,Yes,,Department of Education,Federal Student Aid,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Education,Federal Student Aid,
MAXIMUS Inc.,MAXIMUS Cloud,JAB,Yes,,Department of Education,Federal Student Aid,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Department of Education,Federal Student Aid,
NICE inContact,NICE inContact CXone Customer Experience Platform,Agency,Yes,,Department of Education,Federal Student Aid,
Amazon,AWS US East/West,JAB,Yes,,Department of Education,Federal Student Aid,
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Department of Education,Federal Student Aid,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Education,Federal Student Aid,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Education,Federal Student Aid,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Federal Trade Commission,,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Federal Trade Commission,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Federal Trade Commission,,
Amazon,AWS GovCloud,JAB,Yes,,Federal Trade Commission,,
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,Yes,,Federal Trade Commission,,
NICE inContact,NICE inContact CXone Customer Experience Platform,Agency,Yes,,Federal Trade Commission,,
Amazon,AWS US East/West,JAB,Yes,,Federal Trade Commission,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Federal Trade Commission,,
"Innovative Discovery, LLC",Innovative Discovery Government Cloud (IDGC),Agency,No,06/01/2018,Federal Trade Commission,,"Lunarline, Inc."
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Federal Trade Commission,,
Zscaler,Zscaler Internet Access – Government (Secure Web Gateway – vTIC),Agency,Yes,,Federal Trade Commission,,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Federal Trade Commission,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Federal Trade Commission,,
ServiceNow,Government Community Cloud,JAB,Yes,,Federal Trade Commission,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Federal Trade Commission,,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Federal Trade Commission,,
Contegix,SecureCloud,Agency,Yes,,Federal Trade Commission,,
AINS,eCase,Agency,Yes,,Federal Trade Commission,,
Sumo Logic,Sumo Logic,Agency,No,,Federal Trade Commission,,Kratos
Oracle,Federal Managed Cloud Services,JAB,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Skillsoft,Private Cloud,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Duo Security,Duo Access,Agency,Yes,,Federal Housing Finance Agency,FHFA Office of the Inspector General,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,FirstNet,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Commerce,FirstNet,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Commerce,FirstNet,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Commerce,FirstNet,
OneStream Software,OneStream XF Cloud,Agency,Yes,,Department of Commerce,FirstNet,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,FirstNet,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Commerce,FirstNet,
"Lookout, Inc.",Lookout Mobile Endpoint Security,JAB,Yes,,Department of Commerce,FirstNet,
"Galvanize, Inc.",HighBond,Agency,Yes,,Department of Commerce,FirstNet,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,Fish and Wildlife Service,
Appian,Appian Cloud,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Avue Technologies,Avue Digital Services,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
"DNAnexus, Inc.",DNAnexus Platform,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Zimperium,Zimperium Mobile Endpoint Cyber Security,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Palantir Technologies Inc.,Palantir Federal Cloud Service,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
McAfee,MVISION Cloud,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Akamai,Content Delivery Services,JAB,Yes,,General Services Administration,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,General Services Administration,,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,General Services Administration,,
MicroPact,MicroPact Product Suite,Agency,Yes,,General Services Administration,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,General Services Administration,,
Amazon,AWS GovCloud,JAB,Yes,,General Services Administration,,
18F,18F Cloud.gov,JAB,Yes,,General Services Administration,,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,General Services Administration,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,General Services Administration,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,General Services Administration,,
Amazon,AWS US East/West,JAB,Yes,,General Services Administration,,
Apptio,The Apptio Technology Business Management (TBM),JAB,Yes,,General Services Administration,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,General Services Administration,,
Infor,Infor Regulated Industries SaaS (IRIS),JAB,Yes,,General Services Administration,,
Everbridge,Everbridge Suite,Agency,Yes,,General Services Administration,,
GitHub,GitHub Enterprise Cloud,Agency,No,10/04/2018,General Services Administration,,The Cadence Group
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,General Services Administration,,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,General Services Administration,,
ServiceNow,Government Community Cloud,JAB,Yes,,General Services Administration,,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,General Services Administration,,
Workiva,Wdesk,Agency,Yes,,General Services Administration,,
IBM,SmartCloud for Government,JAB,Yes,,General Services Administration,,
General Services Administration,Login.gov,Agency,No,11/20/2019,General Services Administration,,SecureIT
Google,Google Services (Google Cloud Platform Products and underlying Infrastructure),JAB,Yes,,General Services Administration,,
Cisco Systems Inc.,Cisco Cloudlock for Government,Agency,No,03/26/2020,General Services Administration,,Kratos
HackerOne,HackerOne Bug Bounty & Vulnerability Disclosure Platform,Agency,No,04/24/2020,General Services Administration,,"Coalfire Systems, Inc."
Datadog,Datadog,Agency,No,05/05/2020,General Services Administration,,"Schellman & Company, LLC"
Zendesk,Zendesk,Agency,No,04/24/2020,General Services Administration,,General Services Administration
Slack Technologies,Slack,Agency,Yes,,General Services Administration,,
Geotab,Geotab Telematics Platform Government (GTP Gov),Agency,No,04/24/2020,General Services Administration,,"Coalfire Systems, Inc."
Decision Lens Inc.,Decision Lens Software,Agency,Yes,,General Services Administration,,
Google,Google G Suite,Agency,No,08/24/2020,General Services Administration,,"Coalfire Systems, Inc."
Google,Google G Suite,Agency,Yes,,General Services Administration,,
Enel X North America,Exchange Platform,Agency,No,08/28/2020,General Services Administration,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
Trello,Trello Enterprise Cloud,Agency,No,09/15/2020,"General Services Administration ",,"Coalfire Systems, Inc."
"Exterro, Inc.",Exterro E-Discovery and Legal Software Platform,Agency,No,,General Services Administration,,"Coalfire Systems, Inc."
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,No,,General Services Administration,,SecureIT
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Health Resources and Services Administration,
McAfee,MVISION Cloud,JAB,Yes,,Department of Energy,Idaho Operations Office,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
Axon,Axon Evidence.com,JAB,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Institute of Museum and Library Services,,
Akamai,Content Delivery Services,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
18F,18F Cloud.gov,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS US East/West,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS US East/West,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Amazon,AWS US East/West,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Qualys,Qualys Cloud Platform,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Treasury,Internal Revenue Service,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Palantir Technologies Inc.,Palantir Federal Cloud Service,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Deloitte,Deloitte Federal Technology Center,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of the Treasury,Internal Revenue Service,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
United States Department of the Treasury,Workplace.gov Community Cloud (WC2),Agency,Yes,,Department of the Treasury,Internal Revenue Service,
AINS,eCase,Agency,Yes,,Department of the Treasury,Internal Revenue Service,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,International Trade Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,International Trade Administration,
ORock Technologies,ORockCloud,Agency,Yes,,Department of Defense,Joint Communications Support Element,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Justice,Justice Management Division,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Justice,Justice Management Division,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Justice,Justice Management Division,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,Justice Management Division,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Justice,Justice Management Division,
"Distributed Solutions, Inc.",AEON,Agency,Yes,,Library of Congress,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Library of Congress,,
Google,Google G Suite,Agency,Yes,,Library of Congress,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,Los Alamos National Laboratory,
Everbridge,Everbridge Suite,Agency,Yes,,Department of Energy,Los Alamos National Laboratory,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,Los Alamos National Laboratory,
Google,Google G Suite,Agency,Yes,,Department of Energy,Los Alamos National Laboratory,
Amazon,AWS GovCloud,JAB,Yes,,Millenium Challenge Corporation,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,Missile Defense Agency,
Oracle,Oracle Service Cloud,JAB,Yes,,National Aeronautics and Space Administration,,
Amazon,AWS GovCloud,JAB,Yes,,National Aeronautics and Space Administration,,
iSite LLC,iSite Contract Management Portal,Agency,No,09/29/2017,National Aeronautics and Space Administration,,"Perspecta, Inc."
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,National Aeronautics and Space Administration,,
Amazon,AWS US East/West,JAB,Yes,,National Aeronautics and Space Administration,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,National Aeronautics and Space Administration,,
ServiceNow,Government Community Cloud,JAB,Yes,,National Aeronautics and Space Administration,,
McAfee,MVISION Cloud,JAB,Yes,,National Aeronautics and Space Administration,,
PTC,PTC Cloud Services,Agency,No,04/22/2020,National Aeronautics and Space Administration,,Kratos
Salesforce,Salesforce Government Cloud,Agency,Yes,,National Archives and Records Administration,,
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,Yes,,National Archives and Records Administration,,
Google,Google G Suite,Agency,Yes,,National Archives and Records Administration,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,National Capital Planning Commission,,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,National Capital Planning Commission,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,National Credit Union Administration,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,National Endowment for the Arts,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,National Endowment for the Arts,,
Oracle,Federal Managed Cloud Services,JAB,Yes,,National Endowment for the Humanities,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,National Endowment for the Humanities,,
Accenture Federal Services,Accenture Xtended Detection and Response (XDR) for government,Agency,No,10/18/2019,National Gallery of Art,,"Coalfire Systems, Inc."
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Agriculture,National Institute of Food and Agriculture,
OMB,MAX.gov Shared Services,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Amazon,AWS US East/West,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Everbridge,Everbridge Suite,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
GitHub,GitHub Enterprise Cloud,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,National Institute of Standards and Technology,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Google,Google G Suite,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Commerce,National Institute of Standards and Technology,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,National Institutes of Health,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,National Institutes of Health,
